"accession","title","published","has_bam","sra_accession"
"GSE299200","Recapitulating physiologically relevant oxygen levels and extracellular matrix remodeling in patient-derived tumor-immune tunable models reveal targeting opportunities for immunologically cold high-grade serous tumors",2026-05-28,FALSE,NA
"GSE312099","Immune cell sequencing after allogeneic hematopoietic cell transplantation [snATAC-seq]",2026-05-26,FALSE,NA
"GSE332711","CD4/CD8 ratio is associated with structural reorganization of vaccine-induced immune responses in people living with HIV",2026-05-25,FALSE,NA
"GSE331351","Single-Cell Multi-Omics Reveals Activation of the STAT3–PIM1 Axis in T Cell Subsets in Proteinase 3-ANCA-Positive Granulomatosis with Polyangiitis",2026-05-24,FALSE,NA
"GSE328788","Inhibition of programmed cell death-1 in cytotoxic CD8+ T cells exacerbates pressure overload-induced cardiac injury",2026-05-21,FALSE,NA
"GSE313451","LeishDog: a single-cell transcriptome atlas of peripheral blood immune cells spanning progressive canine leishmaniosis",2026-05-20,FALSE,NA
"GSE332846","Case of Complete Response to Immunotherapy in MMR-Deficient Prostate Cancer Associated with NK-like and CD4+CD8+ T-cells",2026-05-20,FALSE,NA
"GSE326288","Preterm birth skews the developmental trajectory of myeloid-derived suppressor cells in the first 48 hours of life: single-cell transcriptomics and inferred intercellular communication",2026-05-17,FALSE,NA
"GSE327727","D-SPIN constructs regulatory network models from scRNA-seq revealing organizing principles of perturbation response",2026-05-10,FALSE,NA
"GSE233321","Single-cell map of the healthy human immune system across the lifespan reveals unique infant immune signatures",2026-05-06,FALSE,NA
"GSE317309","Combination of a CCL21-gene modified dendritic cell vaccine and pembrolizumab induces immune responses in non-small cell lung cancer",2026-04-30,FALSE,NA
"GSE326661","Reprogramming engineered autologous T cells to overcome resistance in Merkel cell carcinoma [scRNA-seq]",2026-04-30,FALSE,NA
"GSE298361","Single cell RNA-seq analysis of PBMCs from mouse models of mevalonate kinase deficiency",2026-04-29,FALSE,NA
"GSE280720","Functional characterization of Central Nervous System (CNS) and peripheral immune responses in Alzheimer's Disease after Bacillus Calmette Guerin (BCG) vaccination in older adults.",2026-04-26,FALSE,NA
"GSE310992","Gastrointestinal CAR T-cell Lymphoma after ciltacabtagene autoleucel",2026-04-13,FALSE,NA
"GSE301133","Lung mucosal and systemic responses at single-cell resolution in an aerosolised Mycobacterium bovis BCG human challenge model",2026-04-12,FALSE,NA
"GSE196044","Single-Cell Transcriptomic and Chromatin Accessibility Atlas of Peripheral Blood Mononuclear Cells Reveals Immune Cell Heterogeneity and Breed- Specific Characteristics in Duroc and Meishan Pigs",2026-04-06,FALSE,NA
"GSE301378","Single-cell RNA-seq and TCR profiling of tissue-resident memory T cells in the fallopian tube and matched ovarian cancer samples",2026-04-02,FALSE,NA
"GSE325226","CD69 regulates the tissue dynamics of epigenetically imprinted memory CD4+ T cells [scRNA-seq]",2026-03-22,FALSE,NA
"GSE324889","Single-Cell RNA Sequencing of PBMCs from Clinically Stable Connective Tissue Disease-associated Interstitial Lung Disease (CTD-ILD) Patients after Lung Transplantation",2026-03-18,FALSE,NA
"GSE318717","Single-cell sequencing reveals dynamic immune features of paraneoplastic pemphigus in a patient with follicular lymphoma",2026-03-17,FALSE,NA
"GSE264020","Dysregulation of macrophage lipid metabolism underlies intracellular bacterial neuroinvasion",2026-03-16,FALSE,NA
"GSE324697","Single-cell RNA analysis of allele-specific MHC expression in peripheral blood mononuclear cells of Mauritian-origin cynomologus and Indian-origin rhesus macaques",2026-03-15,FALSE,NA
"GSE314010","Interleukin-36 upregulated type-I interferon responses in systemic lupus erythematosis by promoting the accumulation of self-nucleic acids",2026-03-11,FALSE,NA
"GSE263051","Effect of ITPRIPL1 treatment on gene expression of human peripheral blood mononuclear cells",2026-03-10,FALSE,NA
"GSE320507","Dysregulated NK-cell gene expression defines the enduring symptoms of long COVID-19",2026-03-04,FALSE,NA
"GSE290864","Immune cell sequencing after allogeneic hematopoietic cell transplantation [scRNA-seq]",2026-02-28,FALSE,NA
"GSE290836","Immune cell sequencing after allogeneic hematopoietic cell transplantation",2026-02-28,FALSE,NA
"GSE320155","scRNA‑seq of human intra‑hepatic CD4⁺ T cells reveals unique Treg transcriptional identities and two steady‑state tissue‑adaptation programs across healthy and HCC liver samples",2026-02-24,FALSE,NA
"GSE300837","Genetic susceptibility to PM2.5 exposure drives transcriptional responses in pediatric asthma: insights from single-cell transcriptomics",2026-02-24,FALSE,NA
"GSE319710","Monocytes defined by platelet interactions and oxidative stress signaling underlie HIV-associated atherosclerosis [scRNA-seq]",2026-02-19,FALSE,NA
"GSE319709","Single-cell transcriptomics reveals etiology-specific T-cell heterogeneity in hepatocellular carcinoma and implicates regulatory",2026-02-19,FALSE,NA
"GSE308662","CD4+ T cells' immune response during the early phase of infection with Schistosoma japonicum",2026-02-17,FALSE,NA
"GSE312209","An oncogenic KRAS-driven secretome involving TNFα promotes niche preparation prior to pancreatic cancer onset [co-culture scRNA-seq]",2026-02-11,FALSE,NA
"GSE294652","Single-cell RNA sequencing data from human CAR-T cell samples",2026-02-11,FALSE,NA
"GSE305350","CD27 Agonism Enhances Long-Lived CD4⁺ T Cell Vaccine Responses Critical for 2 Anti-Tumor Immunity",2026-02-09,FALSE,NA
"GSE318371","Peripheral blood mononuclear cells single-cell landscape of newly diagnosed NK/T cell lymphoma patients",2026-02-06,FALSE,NA
"GSE267027","The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]",2026-02-04,FALSE,NA
"GSE308745","The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2]",2026-02-04,FALSE,NA
